country,0
Argentina,50
"Argentina, Brazil, France, Poland, Germany, Denmark",1
"Argentina, Chile",1
"Argentina, Chile, Peru",1
"Argentina, France",1
"Argentina, France, United States, Germany, Qatar",1
"Argentina, Italy",1
"Argentina, Spain",8
"Argentina, United States",1
"Argentina, United States, Mexico",1
"Argentina, Uruguay, Serbia",1
"Argentina, Uruguay, Spain, France",1
Australia,83
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",1
"Australia, Canada",2
"Australia, France",1
"Australia, France, Ireland",1
"Australia, India",1
"Australia, Iraq",1
"Australia, New Zealand",1
"Australia, New Zealand, United States",1
"Australia, United Arab Emirates",2
"Australia, United Kingdom",1
"Australia, United Kingdom, Canada",1
"Australia, United Kingdom, United Arab Emirates, Canada",1
"Australia, United Kingdom, United States, New Zealand, Italy, France",1
"Australia, United States",10
Austria,4
"Austria, Czech Republic",1
"Austria, Germany",1
"Austria, Iraq, United States",1
"Austria, United States",1
Bangladesh,2
Belarus,1
Belgium,8
"Belgium, France",3
"Belgium, Ireland, Netherlands, Germany, Afghanistan",1
"Belgium, Netherlands",1
"Belgium, United Kingdom, United States",1
Brazil,72
"Brazil, France",2
"Brazil, France, Germany",1
"Brazil, India, China, United States",1
"Brazil, Netherlands, United States, Colombia, Austria, Germany",1
"Brazil, United Kingdom",1
"Brazil, United States",1
Bulgaria,1
"Bulgaria, United States",3
"Bulgaria, United States, Spain, Canada",1
Cambodia,1
"Cambodia, United States",1
Canada,177
"Canada, Australia",2
"Canada, Belgium",1
"Canada, Brazil",1
"Canada, France",1
"Canada, France, Italy, Morocco, United States",1
"Canada, France, United States",1
"Canada, Germany",1
"Canada, Germany, France, United States",1
"Canada, Germany, South Africa",1
"Canada, Hungary, United States",1
"Canada, India",2
"Canada, India, Thailand, United States, United Arab Emirates",1
"Canada, Ireland, United States",1
"Canada, Japan, Netherlands",1
"Canada, Japan, United States",1
"Canada, Luxembourg",1
"Canada, Mexico, Germany, South Africa",1
"Canada, Nigeria",1
"Canada, Norway",1
"Canada, South Africa",1
"Canada, South Korea, United States",1
"Canada, Spain",1
"Canada, Spain, France",1
"Canada, United Kingdom",2
"Canada, United Kingdom, Netherlands",1
"Canada, United Kingdom, United States",2
"Canada, United States",42
"Canada, United States, Cayman Islands",1
"Canada, United States, France",2
"Canada, United States, Germany",1
"Canada, United States, India, United Kingdom",1
"Canada, United States, Ireland",1
"Canada, United States, United Kingdom",3
"Canada, United States, United Kingdom, France, Luxembourg",1
Chile,14
"Chile, Argentina",1
"Chile, Argentina, France, Spain, United States",1
"Chile, France",1
"Chile, Italy",1
"Chile, Peru",1
"Chile, Spain, Argentina, Germany",1
"Chile, United States, France",1
China,57
"China, Canada, United States",2
"China, Germany, India, United States",1
"China, Hong Kong",14
"China, Hong Kong, United States",1
"China, India, Nepal",1
"China, Japan",1
"China, Morocco, Hong Kong",1
"China, South Korea, United States",1
"China, Spain, South Korea, United States",1
"China, Taiwan",1
"China, United Kingdom",1
"China, United States",2
"China, United States, Australia",1
"China, United States, United Kingdom",1
Colombia,31
"Colombia, Mexico",1
"Colombia, Mexico, United States",2
"Colombia, Peru, United Kingdom",1
"Colombia, United States",1
Croatia,1
"Croatia, Slovenia, Serbia, Montenegro",1
Cyprus,1
"Czech Republic, France",1
"Czech Republic, Slovakia",1
