country,release_year,count
United States,2019,359
United States,2017,351
United States,2018,348
United States,2020,332
United States,2016,254
United States,2015,141
India,2017,101
India,2018,95
India,2019,84
United States,2014,83
United States,2013,77
India,2016,73
United Kingdom,2017,66
India,2020,66
India,2015,62
United States,2012,62
United Kingdom,2016,62
United Kingdom,2018,54
India,2013,53
India,2014,51
United States,2011,51
United Kingdom,2020,47
United States,2010,45
Japan,2018,41
United States,2008,39
United States,2009,39
India,2012,36
United Kingdom,2019,35
India,2010,35
United Kingdom,2015,34
Canada,2018,34
United States,2007,33
Spain,2018,32
South Korea,2017,31
South Korea,2020,30
India,2011,29
United States,2006,28
South Korea,2016,28
South Korea,2018,28
Japan,2019,28
Japan,2017,28
Canada,2020,27
India,2009,27
Canada,2017,27
Canada,2016,27
India,2008,25
Spain,2019,24
United Kingdom,2014,24
Spain,2017,24
Spain,2020,22
South Korea,2019,22
France,2019,22
Germany,2020,21
United States,2005,21
India,2005,20
Brazil,2020,20
India,2006,20
France,2018,19
Japan,2016,18
Japan,2020,18
United States,2003,18
Brazil,2019,17
Canada,2019,17
Nigeria,2018,17
Mexico,2016,17
United States,2000,17
France,2017,16
Australia,2016,16
China,2019,16
United States,2004,16
Mexico,2018,16
France,2020,16
Spain,2016,16
Mexico,2020,16
India,2007,16
United States,2001,16
Nigeria,2019,15
Turkey,2014,15
United Kingdom,2013,15
France,2016,15
Italy,2020,15
United States,2002,15
Mexico,2019,15
Australia,2018,15
United States,1998,15
India,2004,15
United States,1997,15
Nigeria,2017,14
Japan,2014,14
Egypt,2018,14
United States,1999,14
Egypt,2017,13
United States,2021,13
Canada,2015,13
Turkey,2015,13
Brazil,2018,13
United States,1988,13
Indonesia,2018,13
Mexico,2017,12
United States,1996,12
India,2003,12
Australia,2019,12
South Korea,2015,12
South Korea,2012,11
Thailand,2019,11
Japan,2013,11
Spain,2015,11
"United Kingdom, United States",2018,11
Indonesia,2020,11
Turkey,2016,11
Argentina,2019,11
China,2017,11
Canada,2014,11
Philippines,2019,11
Nigeria,2016,11
France,2015,11
United States,1993,10
Philippines,2015,10
United States,1990,10
Japan,2015,10
Argentina,2018,10
Japan,2008,10
United States,1995,10
