cast,count_mov,count_ser
Afonso Padilha,1,1
Alexandra Richter,1,1
Alfredo Rollo,1,1
Alice Braga,1,2
Allan Lima,1,1
Alvaro Armand Ugon,1,1
Alê Abreu,1,1
Amélia Bittencourt,1,1
Ana Caetano,1,1
Ana Cecília Costa,1,1
Analú Prestes,1,1
Andrea Beltrão,1,1
André Gonçalves,1,1
Anne Celestino Mota,1,1
Antonio Pedro Tabet,1,2
Antonio Tabet,2,2
Arianne Botelho,1,1
Ariclenes Barroso,1,1
Ariel Goldenberg,1,1
Augusto Madeira,1,2
Beth Goulart,2,2
Bianca Comparato,1,2
Breno Viola,1,1
Bruce Gomlevsky,1,1
Bruna Griphao,1,1
Bruno Bebianno,1,1
Bryan Ruffo,1,1
Bárbara Maia,1,1
Caio Vegatti,1,1
Caique Nogueira,1,1
Camilo Borges,1,1
Carol Portes,1,1
Carolina Dieckmann,1,1
Caroline Abras,1,2
Cassius Romero,1,1
Celso Alves,1,1
Charles Baudin,1,1
Chay Suede,1,1
Chino Darín,1,1
Chris Couto,1,1
Cida Rolim,1,1
Clarissa Müller,1,1
Claudia Ohana,1,1
Cleber Salgado,1,1
Cleo Pires,2,2
Criolo,1,1
César Cardadeiro,1,1
César Mello,1,2
Dalton Vigh,3,3
Daniel Dantas,1,1
Daniel Filho,1,1
Daniel Torres,1,1
Danielle Winits,1,1
Danilo Mesquita,1,2
Day Mesquita,2,2
Deto Montenegro,2,2
Diogo Morgado,1,1
Dylan Cortes,1,1
Edmilson Filho,1,1
Eduardo Galvão,3,3
Eduardo Moscovis,1,2
Eduardo Mossri,1,1
Eliane Giardini,1,1
Elisa Pinheiro,2,2
Emicida,1,1
Emmanuel Rosset,1,1
Erasmo Carlos,1,1
Ernani Moraes,1,1
Estevam Nabote,1,1
Etienne Chicot,1,1
Evelyn Castro,2,2
Fabiula Nascimento,1,1
Fabrício Boliveira,1,1
Fafá de Belém,1,1
Felipe Abib,1,1
Felipe Neto,1,1
Felipe Titto,1,1
Felipe Zilse,1,1
Fernanda Bullara,1,1
Fernanda Paes Leme,3,3
Filipe Bragança,1,1
Fábio Assunção,1,1
Fábio Lago,1,1
Fábio Lucindo,1,1
Fábio Porchat,2,2
Fábio de Luca,2,2
Gabriel Braga Nunes,1,1
Gabriel Totoro,1,1
Gabriela Freire,1,1
Gabriela Nunes,1,1
Genezio de Barros,1,1
Gi Alparone,1,1
Gil Coelho,1,1
Gillray Coutinho,2,2
Giovanna Alparone,2,2
Giovanna Grigio,1,1
Giovanna Lancellotti,1,1
Giulia de Souza Merigo,1,1
Gregorio Duvivier,1,1
Gregório Duvivier,1,1
Guilherme Piva,1,1
Hamilton Dias,1,1
Hermila Guedes,1,2
Humberto Carrão,1,1
Igor Augustho,1,1
Igor Galvão,1,1
Ingrid Guimarães,1,1
Isabel Fillardis,1,1
Isis Valverde,1,1
Jackson Antunes,1,1
Jaffar Bambirra,1,1
Jaloo,1,1
Jeniffer Dias,1,1
Jesuíta Barbosa,1,1
Joaquim Lopes,1,1
Johnny Massaro,1,1
Jonas Leite,1,1
José Loreto,1,1
José Rubens Chachá,1,2
João Assunção,1,1
João Côrtes,1,1
João Fábio Cabral,1,1
João Pessanha,1,1
João Vicente de Castro,1,1
Julia Konrad,2,2
Juliana Mesquita,1,1
Jéssica Diehl,2,2
